Kod woj.;Województwo;Kod gm.;Gmina;Typ gminy;Powiat;L. obwodów;Frekwencja;% głosów ważnych;JUREK Marek;KACZYŃSKI Jarosław Aleksander;KOMOROWSKI Bronisław Maria;KORWIN-MIKKE Janusz Ryszard;LEPPER Andrzej Zbigniew;MORAWIECKI Kornel Andrzej;NAPIERALSKI Grzegorz Bernard;OLECHOWSKI Andrzej Marian;PAWLAK Waldemar;ZIĘTEK Bogusław Zbigniew
02;dolnośląskie;020302;Głogów, gm.;wiejska;głogowski;4;53,24;99,39;0,65;41,77;32,79;2,03;1,67;0,12;17,80;1,42;1,58;0,16
02;dolnośląskie;020303;Jerzmanowa, gm.;wiejska;głogowski;4;57,12;99,04;0,73;40,29;32,16;1,52;2,12;0,12;20,57;1,15;1,27;0,06
02;dolnośląskie;020304;Kotla, gm.;wiejska;głogowski;5;44,52;99,11;0,63;40,63;32,78;1,88;3,89;0,35;16,74;1,25;1,74;0,14
02;dolnośląskie;020305;Pęcław, gm.;wiejska;głogowski;2;46,76;98,44;1,22;44,35;29,04;1,34;3,28;0,36;16,77;0,85;2,55;0,24
02;dolnośląskie;020306;Żukowice, gm.;wiejska;głogowski;2;44,15;99,34;0,50;37,25;31,62;1,57;5,13;0,08;19,62;0,99;2,90;0,33
02;dolnośląskie;020401;Góra, gm.;miejsko-wiejska;górowski;15;45,15;99,50;0,73;29,96;45,18;2,24;1,89;0,11;16,60;1,59;1,52;0,19
02;dolnośląskie;020402;Jemielno, gm.;wiejska;górowski;3;41,73;98,45;0,59;35,20;34,41;1,08;3,15;0,20;20,94;0,39;3,83;0,20
02;dolnośląskie;020403;Niechlów, gm.;wiejska;górowski;4;43,59;99,36;0,76;35,12;36,22;0,93;4,42;0,00;19,36;0,64;2,38;0,17
02;dolnośląskie;020404;Wąsosz, gm.;miejsko-wiejska;górowski;5;41,15;99,26;0,46;34,31;38,13;2,78;2,69;0,29;17,65;1,37;2,11;0,21
02;dolnośląskie;020501;Jawor, m.;miejska;jaworski;14;52,12;99,10;0,76;34,59;43,15;2,11;0,86;0,27;15,92;1,42;0,79;0,14
02;dolnośląskie;020502;Bolków, gm.;miejsko-wiejska;jaworski;12;45,53;99,17;0,74;28,68;44,42;1,88;2,79;0,17;18,48;0,91;1,75;0,17
02;dolnośląskie;020503;Męcinka, gm.;wiejska;jaworski;4;44,11;99,17;0,36;43,72;31,95;1,43;2,97;0,18;16,42;0,65;2,02;0,30
02;dolnośląskie;020504;Mściwojów, gm.;wiejska;jaworski;3;50,48;99,21;0,92;32,46;37,78;1,96;3,61;0,12;19,11;0,80;3,00;0,24
02;dolnośląskie;020505;Paszowice, gm.;wiejska;jaworski;2;44,25;99,21;1,31;37,75;37,24;1,38;2,91;0,29;15,20;1,60;2,18;0,15
02;dolnośląskie;020506;Wądroże Wielkie, gm.;wiejska;jaworski;3;42,36;99,63;0,73;31,42;38,40;1,62;2,57;0,29;17,69;0,59;6,61;0,07
02;dolnośląskie;020601;Karpacz, m.;miejska;jeleniogórski;4;58,76;99,28;0,98;18,32;61,14;2,43;0,36;0,22;13,57;1,67;0,91;0,40
02;dolnośląskie;020602;Kowary, m.;miejska;jeleniogórski;11;51,12;99,31;1,13;21,52;54,19;2,72;1,09;0,20;16,42;1,66;0,86;0,20
02;dolnośląskie;020603;Piechowice, m.;miejska;jeleniogórski;4;53,11;99,23;0,35;26,07;53,47;2,39;1,33;0,18;13,19;1,93;0,88;0,21
02;dolnośląskie;020604;Szklarska Poręba, m.;miejska;jeleniogórski;6;54,22;99,14;0,81;23,72;53,39;3,26;1,08;0,24;14,64;1,46;1,17;0,24
02;dolnośląskie;020605;Janowice Wielkie, gm.;wiejska;jeleniogórski;6;50,44;98,55;0,68;23,88;54,09;2,54;1,19;0,17;14,40;1,86;1,07;0,11
02;dolnośląskie;020606;Jeżów Sudecki, gm.;wiejska;jeleniogórski;4;49,79;99,43;0,73;25,22;54,05;1,54;0,61;0,19;15,09;1,07;1,23;0,27
02;dolnośląskie;020607;Mysłakowice, gm.;wiejska;jeleniogórski;7;49,14;99,20;0,68;26,79;52,45;2,08;1,27;0,23;13,71;1,19;1,37;0,23
02;dolnośląskie;020608;Podgórzyn, gm.;wiejska;jeleniogórski;7;50,30;99,22;0,88;24,10;55,14;1,97;1,15;0,09;13,81;1,49;1,09;0,27
02;dolnośląskie;020609;Stara Kamienica, gm.;wiejska;jeleniogórski;4;47,71;99,16;0,50;27,33;50,87;1,75;1,55;0,00;15,61;0,90;1,35;0,15
02;dolnośląskie;020701;Kamienna Góra, m.;miejska;kamiennogórski;14;50,67;99,05;0,67;27,52;49,95;1,90;0,94;0,06;16,97;1,27;0,61;0,12
02;dolnośląskie;020702;Kamienna Góra, gm.;wiejska;kamiennogórski;8;49,85;99,07;1,76;29,73;46,06;1,67;1,97;0,15;15,19;1,35;1,85;0,26
02;dolnośląskie;020703;Lubawka, gm.;miejsko-wiejska;kamiennogórski;7;50,37;98,79;0,65;25,04;51,04;1,20;1,96;0,19;17,49;1,14;1,23;0,06
02;dolnośląskie;020704;Marciszów, gm.;wiejska;kamiennogórski;7;46,95;99,49;1,25;28,32;49,49;1,42;1,82;0,11;14,30;1,31;1,87;0,11
02;dolnośląskie;020801;Duszniki-Zdrój, m.;miejska;kłodzki;3;53,32;99,41;0,51;26,63;50,30;2,58;0,64;0,08;16,55;1,61;0,89;0,21
02;dolnośląskie;020802;Kłodzko, m.;miejska;kłodzki;19;52,53;99,34;0,73;28,97;52,78;2,13;0,81;0,15;12,02;1,27;0,98;0,17
02;dolnośląskie;020803;Kudowa-Zdrój, m.;miejska;kłodzki;7;53,92;99,37;0,82;35,05;46,50;2,13;0,55;0,11;12,16;1,50;0,97;0,21
02;dolnośląskie;020804;Nowa Ruda, m.;miejska;kłodzki;14;47,91;99,47;0,86;24,53;53,79;2,19;1,08;0,14;15,36;1,31;0,58;0,16
02;dolnośląskie;020805;Polanica-Zdrój, m.;miejska;kłodzki;4;54,99;99,38;0,89;31,05;51,63;2,46;0,59;0,06;10,69;1,54;1,01;0,09
02;dolnośląskie;020806;Bystrzyca Kłodzka, gm.;miejsko-wiejska;kłodzki;17;48,46;99,38;0,98;31,38;47,09;1,83;1,70;0,20;12,94;1,37;2,23;0,27
02;dolnośląskie;020807;Kłodzko, gm.;wiejska;kłodzki;14;46,26;99,32;0,77;33,20;42,34;1,79;2,32;0,20;13,04;1,13;4,87;0,34
02;dolnośląskie;020808;Lądek-Zdrój, gm.;miejsko-wiejska;kłodzki;6;49,90;99,53;1,08;29,64;46,91;2,59;1,43;0,29;14,81;1,45;1,59;0,21
02;dolnośląskie;020809;Lewin Kłodzki, gm.;wiejska;kłodzki;2;44,76;99,72;0,55;39,92;40,61;3,18;1,66;0,14;11,19;0,97;1,80;0,00
02;dolnośląskie;020810;Międzylesie, gm.;miejsko-wiejska;kłodzki;9;46,83;99,41;0,83;25,09;52,67;2,26;2,91;0,28;13,46;0,73;1,42;0,35
02;dolnośląskie;020811;Nowa Ruda, gm.;wiejska;kłodzki;13;45,68;99,52;0,54;29,17;48,23;2,05;1,63;0,15;15,11;1,31;1,59;0,22
02;dolnośląskie;020812;Radków, gm.;miejsko-wiejska;kłodzki;8;45,75;99,24;1,28;35,02;44,38;1,87;1,73;0,11;12,20;1,67;1,53;0,20
02;dolnośląskie;020813;Stronie Śląskie, gm.;miejsko-wiejska;kłodzki;4;45,81;99,11;0,57;22,04;50,73;2,29;1,64;0,21;19,65;1,36;1,21;0,29
02;dolnośląskie;020814;Szczytna, gm.;miejsko-wiejska;kłodzki;6;46,80;99,30;0,74;25,89;51,64;2,22;1,76;0,18;14,77;1,27;1,41;0,14
02;dolnośląskie;020901;Chojnów, m.;miejska;legnicki;7;48,80;99,44;0,53;33,39;43,56;2,83;0,97;0,12;16,39;1,26;0,76;0,19
02;dolnośląskie;020902;Chojnów, gm.;wiejska;legnicki;7;44,10;99,36;1,10;38,29;35,85;1,44;3,63;0,24;14,50;1,25;3,42;0,27
02;dolnośląskie;020903;Krotoszyce, gm.;wiejska;legnicki;3;50,68;99,27;0,57;43,00;35,30;1,23;2,78;0,25;13,10;0,98;2,62;0,16
02;dolnośląskie;020904;Kunice, gm.;wiejska;legnicki;5;55,48;99,36;1,13;29,98;46,00;1,61;2,62;0,24;15,25;1,57;1,45;0,12
02;dolnośląskie;020905;Legnickie Pole, gm.;wiejska;legnicki;6;50,29;99,00;1,60;36,11;37,01;2,13;2,67;0,32;17,12;0,75;1,87;0,43
02;dolnośląskie;020906;Miłkowice, gm.;wiejska;legnicki;8;54,01;99,41;1,16;34,50;38,91;1,83;2,32;0,22;16,95;1,31;2,61;0,19
02;dolnośląskie;020907;Prochowice, gm.;miejsko-wiejska;legnicki;6;47,45;99,22;0,54;31,55;43,43;1,64;2,61;0,11;16,60;1,53;1,86;0,14
02;dolnośląskie;020908;Ruja, gm.;wiejska;legnicki;3;47,35;99,21;0,89;31,06;36,40;1,38;5,34;0,00;22,26;0,69;1,48;0,49
02;dolnośląskie;021001;Lubań, m.;miejska;lubański;15;51,36;99,49;0,48;27,96;49,69;1,97;1,03;0,13;16,56;1,31;0,68;0,20
02;dolnośląskie;021002;Świeradów-Zdrój, m.;miejska;lubański;5;48,94;99,48;1,16;29,43;50,29;2,26;1,10;0,11;12,56;1,73;1,16;0,21
02;dolnośląskie;021003;Leśna, gm.;miejsko-wiejska;lubański;8;47,50;99,18;0,60;27,52;46,45;1,89;2,31;0,13;18,74;0,91;1,26;0,20
02;dolnośląskie;021004;Lubań, gm.;wiejska;lubański;7;46,47;99,58;0,64;28,81;44,16;1,87;3,95;0,08;16,19;1,27;2,80;0,21
02;dolnośląskie;021005;Olszyna, gm.;miejsko-wiejska;lubański;4;44,59;99,00;0,72;26,52;47,22;1,52;1,43;0,34;18,59;1,73;1,69;0,25
02;dolnośląskie;021006;Platerówka, gm.;wiejska;lubański;1;50,96;98,50;0,76;44,12;33,74;2,60;0,76;0,00;14,20;1,07;2,75;0,00
02;dolnośląskie;021007;Siekierczyn, gm.;wiejska;lubański;4;53,68;98,77;0,78;30,71;44,64;1,61;3,17;0,28;16,05;0,83;1,75;0,18
02;dolnośląskie;021101;Lubin, m.;miejska;lubiński;51;55,02;99,66;0,56;40,39;36,26;2,59;0,71;0,21;16,91;1,57;0,64;0,16
02;dolnośląskie;021102;Lubin, gm.;wiejska;lubiński;10;53,59;99,12;0,45;38,93;35,57;2,48;1,62;0,13;17,86;1,54;1,35;0,06
02;dolnośląskie;021103;Rudna, gm.;wiejska;lubiński;5;49,74;99,28;0,52;44,06;26,36;1,56;2,74;0,00;20,85;1,59;2,22;0,10
02;dolnośląskie;021104;Ścinawa, gm.;miejsko-wiejska;lubiński;7;49,51;99,45;0,53;48,28;30,45;1,16;1,42;0,29;15,35;1,30;1,08;0,14
02;dolnośląskie;021201;Gryfów Śląski, gm.;miejsko-wiejska;lwówecki;7;46,14;99,27;0,78;30,00;45,67;2,48;1,67;0,10;16,27;1,39;1,46;0,16
02;dolnośląskie;021202;Lubomierz, gm.;miejsko-wiejska;lwówecki;6;43,01;99,06;1,04;29,74;46,68;1,99;3,32;0,09;13,09;1,23;2,61;0,19
02;dolnośląskie;021203;Lwówek Śląski, gm.;miejsko-wiejska;lwówecki;13;48,27;99,19;0,58;27,62;49,60;2,43;1,43;0,16;15,00;1,49;1,46;0,23
02;dolnośląskie;021204;Mirsk, gm.;miejsko-wiejska;lwówecki;6;44,70;99,17;1,08;32,83;42,12;2,54;1,86;0,12;16,48;1,08;1,77;0,12
02;dolnośląskie;021205;Wleń, gm.;miejsko-wiejska;lwówecki;6;47,26;98,98;0,69;27,72;47,96;2,42;2,13;0,35;14,66;1,44;2,47;0,17
02;dolnośląskie;021301;Cieszków, gm.;wiejska;milicki;3;45,52;98,93;0,78;32,79;34,59;2,82;3,60;0,06;19,40;1,44;4,44;0,06
02;dolnośląskie;021302;Krośnice, gm.;wiejska;milicki;5;45,47;99,26;1,76;38,36;36,74;1,62;2,72;0,18;14,88;0,95;2,75;0,04
02;dolnośląskie;021303;Milicz, gm.;miejsko-wiejska;milicki;20;47,86;99,46;1,05;32,32;42,51;1,70;2,59;0,22;16,35;1,27;1,88;0,12
02;dolnośląskie;021401;Oleśnica, m.;miejska;oleśnicki;20;57,16;99,57;0,65;29,87;47,90;3,07;0,70;0,22;15,23;1,56;0,63;0,16
02;dolnośląskie;021402;Bierutów, gm.;miejsko-wiejska;oleśnicki;7;44,94;97,14;0,53;34,02;42,23;2,38;1,99;0,20;14,86;1,74;1,91;0,14
02;dolnośląskie;021403;Dobroszyce, gm.;wiejska;oleśnicki;3;47,27;99,44;0,57;34,51;40,61;2,22;2,09;0,39;15,34;1,66;2,40;0,22
02;dolnośląskie;021404;Dziadowa Kłoda, gm.;wiejska;oleśnicki;3;43,25;98,39;0,92;22,30;45,59;1,83;4,77;0,07;18,31;1,24;4,84;0,13
02;dolnośląskie;021405;Międzybórz, gm.;miejsko-wiejska;oleśnicki;3;49,94;98,99;0,72;22,55;49,62;1,38;2,51;0,15;19,27;1,44;2,31;0,05
02;dolnośląskie;021406;Oleśnica, gm.;wiejska;oleśnicki;8;44,36;99,15;0,59;34,50;40,22;1,87;2,51;0,25;16,17;1,33;2,36;0,22
02;dolnośląskie;021407;Syców, gm.;miejsko-wiejska;oleśnicki;10;52,20;99,43;0,80;27,52;50,40;2,67;1,22;0,24;14,76;1,21;1,05;0,15
02;dolnośląskie;021408;Twardogóra, gm.;miejsko-wiejska;oleśnicki;6;47,14;99,17;0,63;29,25;46,75;2,27;1,55;0,12;16,80;1,33;1,19;0,10
02;dolnośląskie;021501;Oława, m.;miejska;oławski;18;58,91;99,25;0,91;31,89;47,81;2,63;0,76;0,17;13,18;1,84;0,64;0,17
02;dolnośląskie;021502;Domaniów, gm.;wiejska;oławski;4;49,76;99,02;0,30;39,68;32,56;1,14;4,70;0,10;16,18;1,39;3,81;0,15
02;dolnośląskie;021503;Jelcz-Laskowice, gm.;miejsko-wiejska;oławski;13;53,05;99,40;1,00;38,37;40,43;2,76;1,24;0,18;13,31;1,58;1,03;0,09
02;dolnośląskie;021504;Oława, gm.;wiejska;oławski;10;52,41;99,20;0,73;38,86;39,05;2,18;1,86;0,17;13,80;1,60;1,42;0,32
02;dolnośląskie;021601;Chocianów, gm.;miejsko-wiejska;polkowicki;10;53,11;99,46;1,21;45,87;30,16;2,16;1,77;0,19;16,10;1,25;1,21;0,09
02;dolnośląskie;021602;Gaworzyce, gm.;wiejska;polkowicki;4;52,57;99,23;0,77;41,83;31,47;1,74;3,67;0,13;16,99;0,97;2,25;0,19
02;dolnośląskie;021603;Grębocice, gm.;wiejska;polkowicki;4;44,95;99,34;0,60;42,61;28,04;1,65;2,97;0,16;19,85;0,71;3,24;0,16
02;dolnośląskie;021604;Polkowice, gm.;miejsko-wiejska;polkowicki;15;54,12;99,36;0,94;41,98;32,86;2,03;0,88;0,11;19,11;1,29;0,65;0,15
02;dolnośląskie;021605;Przemków, gm.;miejsko-wiejska;polkowicki;7;45,82;99,20;0,71;41,81;34,04;2,13;1,02;0,15;18,13;0,93;0,93;0,15
02;dolnośląskie;021606;Radwanice, gm.;wiejska;polkowicki;3;49,78;99,38;0,23;37,95;31,53;1,59;3,18;0,23;21,36;1,02;2,61;0,28
02;dolnośląskie;021701;Borów, gm.;wiejska;strzeliński;3;53,04;99,47;1,34;44,51;33,26;1,26;2,55;0,31;10,80;1,57;4,03;0,36
02;dolnośląskie;021702;Kondratowice, gm.;wiejska;strzeliński;5;45,42;99,47;1,18;36,96;38,68;2,19;2,96;0,12;14,43;0,89;2,25;0,35
02;dolnośląskie;021703;Przeworno, gm.;wiejska;strzeliński;6;43,55;98,94;0,45;38,37;36,63;1,12;4,78;0,06;13,93;1,18;3,26;0,22
02;dolnośląskie;021704;Strzelin, gm.;miejsko-wiejska;strzeliński;15;52,39;99,44;0,63;31,11;47,89;2,18;1,43;0,31;13,52;1,32;1,32;0,31
02;dolnośląskie;021705;Wiązów, gm.;miejsko-wiejska;strzeliński;5;44,82;97,76;1,11;47,33;31,82;1,60;2,78;0,15;11,59;1,07;2,25;0,30
02;dolnośląskie;021801;Kostomłoty, gm.;wiejska;średzki;4;43,78;98,79;0,53;40,96;35,32;1,88;2,94;0,29;14,47;0,90;2,53;0,16
02;dolnośląskie;021802;Malczyce, gm.;wiejska;średzki;4;44,37;99,15;0,24;33,11;41,75;2,34;1,67;0,24;17,51;1,43;1,43;0,29
02;dolnośląskie;021803;Miękinia, gm.;wiejska;średzki;7;50,57;99,28;1,10;32,74;48,29;2,73;1,55;0,36;10,74;1,14;1,24;0,10
02;dolnośląskie;021804;Środa Śląska, gm.;miejsko-wiejska;średzki;9;47,54;99,34;0,58;31,12;48,62;2,41;1,16;0,22;13,25;1,38;1,23;0,03
02;dolnośląskie;021805;Udanin, gm.;wiejska;średzki;4;45,28;99,46;0,59;37,21;33,63;1,47;3,19;0,05;18,07;0,69;4,91;0,20
02;dolnośląskie;021901;Świdnica, m.;miejska;świdnicki;31;56,63;99,36;1,01;28,06;49,59;2,85;0,73;0,17;15,06;1,63;0,64;0,23
02;dolnośląskie;021902;Świebodzice, m.;miejska;świdnicki;15;49,66;99,34;0,53;28,07;47,19;2,63;0,86;0,23;18,09;1,49;0,69;0,23
02;dolnośląskie;021903;Dobromierz, gm.;wiejska;świdnicki;3;45,65;99,06;0,70;42,14;35,17;1,39;2,64;0,15;15,37;1,00;1,34;0,10
02;dolnośląskie;021904;Jaworzyna Śląska, gm.;miejsko-wiejska;świdnicki;5;45,89;99,06;1,11;36,69;39,15;3,06;1,48;0,18;15,01;1,48;1,45;0,40
02;dolnośląskie;021905;Marcinowice, gm.;wiejska;świdnicki;7;48,93;99,16;1,45;39,71;37,82;2,05;2,01;0,20;13,09;1,21;2,34;0,12
02;dolnośląskie;021906;Strzegom, gm.;miejsko-wiejska;świdnicki;20;50,26;99,25;0,68;32,41;44,75;2,83;1,45;0,15;15,33;1,35;0,86;0,19
02;dolnośląskie;021907;Świdnica, gm.;wiejska;świdnicki;10;49,53;99,42;0,62;31,80;43,74;2,08;2,15;0,24;16,53;1,13;1,48;0,24
02;dolnośląskie;021908;Żarów, gm.;miejsko-wiejska;świdnicki;8;49,30;98,93;1,12;34,61;42,98;2,87;1,43;0,14;13,79;1,73;1,18;0,14
02;dolnośląskie;022001;Oborniki Śląskie, gm.;miejsko-wiejska;trzebnicki;11;56,76;99,40;0,86;31,85;52,08;2,52;1,18;0,31;9,09;1,32;0,68;0,12
02;dolnośląskie;022002;Prusice, gm.;miejsko-wiejska;trzebnicki;5;44,59;99,26;0,66;38,30;38,18;1,47;2,59;0,25;14,81;1,78;1,94;0,03
02;dolnośląskie;022003;Trzebnica, gm.;miejsko-wiejska;trzebnicki;11;52,11;99,21;0,93;35,59;44,47;2,49;1,06;0,17;12,71;1,39;1,03;0,14
02;dolnośląskie;022004;Wisznia Mała, gm.;wiejska;trzebnicki;4;54,10;99,15;0,54;37,09;45,08;2,53;1,62;0,16;10,50;1,35;1,02;0,11
02;dolnośląskie;022005;Zawonia, gm.;wiejska;trzebnicki;3;41,48;99,40;0,88;32,09;44,16;1,81;2,58;0,05;14,48;1,26;2,69;0,00
02;dolnośląskie;022006;Żmigród, gm.;miejsko-wiejska;trzebnicki;10;45,66;99,21;0,50;26,88;47,85;2,01;2,22;0,19;16,07;1,66;2,42;0,20
02;dolnośląskie;022101;Boguszów-Gorce, m.;miejska;wałbrzyski;9;47,75;99,04;0,60;23,09;53,56;1,92;1,08;0,11;17,44;1,30;0,79;0,11
02;dolnośląskie;022102;Jedlina-Zdrój, m.;miejska;wałbrzyski;5;49,01;98,77;1,00;26,16;51,62;2,05;0,90;0,25;15,68;1,25;0,90;0,20
02;dolnośląskie;022103;Szczawno-Zdrój, m.;miejska;wałbrzyski;3;59,96;99,55;0,90;22,04;56,06;2,38;0,83;0,21;14,54;1,83;1,00;0,21
02;dolnośląskie;022104;Czarny Bór, gm.;wiejska;wałbrzyski;5;52,13;98,74;1,48;29,45;46,24;2,54;2,54;0,25;13,63;1,22;2,44;0,20
02;dolnośląskie;022105;Głuszyca, gm.;miejsko-wiejska;wałbrzyski;6;46,97;98,81;0,92;25,02;54,20;1,84;1,18;0,20;13,86;1,38;1,23;0,17
02;dolnośląskie;022106;Mieroszów, gm.;miejsko-wiejska;wałbrzyski;8;43,58;98,86;0,61;23,07;54,50;2,22;1,30;0,19;15,64;1,46;0,80;0,19
02;dolnośląskie;022107;Stare Bogaczowice, gm.;wiejska;wałbrzyski;6;48,58;99,03;0,80;25,66;48,00;2,03;2,09;0,12;17,37;1,72;1,84;0,37
02;dolnośląskie;022108;Walim, gm.;wiejska;wałbrzyski;4;43,79;99,04;0,68;29,10;47,09;2,62;1,55;0,19;15,91;1,16;1,50;0,19
02;dolnośląskie;022109;Wałbrzych, m.;miejska;wałbrzyski;71;49,48;99,26;0,63;23,61;52,17;2,27;0,92;0,15;17,86;1,60;0,59;0,21
02;dolnośląskie;022201;Brzeg Dolny, gm.;miejsko-wiejska;wołowski;11;52,74;99,24;0,68;27,75;51,46;2,89;0,94;0,16;13,59;1,67;0,62;0,23
02;dolnośląskie;022202;Wińsko, gm.;wiejska;wołowski;7;46,51;99,02;1,18;45,25;32,35;1,49;2,67;0,22;13,67;0,78;2,27;0,12
02;dolnośląskie;022203;Wołów, gm.;miejsko-wiejska;wołowski;16;51,30;99,24;0,99;31,73;48,50;2,22;1,58;0,19;12,05;1,31;1,31;0,14
02;dolnośląskie;022301;Czernica, gm.;wiejska;wrocławski;6;62,14;99,14;1,39;32,89;46,18;2,94;0,83;0,32;11,68;2,05;1,63;0,08
02;dolnośląskie;022302;Długołęka, gm.;wiejska;wrocławski;14;56,79;99,39;1,04;37,87;42,90;2,55;1,56;0,25;10,74;1,69;1,27;0,13
02;dolnośląskie;022303;Jordanów Śląski, gm.;wiejska;wrocławski;2;49,04;99,43;0,82;40,15;38,67;1,48;3,37;0,08;11,33;0,90;3,04;0,16
02;dolnośląskie;022304;Kąty Wrocławskie, gm.;miejsko-wiejska;wrocławski;9;54,11;99,01;1,02;34,14;46,85;2,65;1,09;0,35;11,37;1,43;1,04;0,06
02;dolnośląskie;022305;Kobierzyce, gm.;wiejska;wrocławski;10;55,30;99,53;0,96;29,42;50,53;3,30;1,47;0,14;11,07;2,11;0,90;0,11
02;dolnośląskie;022306;Mietków, gm.;wiejska;wrocławski;4;50,16;98,91;0,78;33,01;41,34;1,56;2,80;0,13;15,30;1,17;3,78;0,13
02;dolnośląskie;022307;Sobótka, gm.;miejsko-wiejska;wrocławski;6;50,46;99,33;0,59;33,91;44,94;2,73;1,68;0,12;12,36;1,62;1,84;0,20
02;dolnośląskie;022308;Siechnice, gm.;miejsko-wiejska;wrocławski;10;59,98;99,52;0,97;33,41;46,87;3,72;0,71;0,25;10,78;2,00;1,24;0,04
02;dolnośląskie;022309;Żórawina, gm.;wiejska;wrocławski;6;49,49;99,13;1,00;34,79;44,62;2,68;1,59;0,21;11,65;1,06;2,35;0,06
02;dolnośląskie;022401;Bardo, gm.;miejsko-wiejska;ząbkowicki;4;48,20;99,32;1,01;31,73;43,25;1,70;1,84;0,18;16,90;1,10;1,93;0,37
02;dolnośląskie;022402;Ciepłowody, gm.;wiejska;ząbkowicki;2;40,58;99,90;0,68;40,66;39,50;1,84;2,32;0,19;11,42;1,06;2,13;0,19
02;dolnośląskie;022403;Kamieniec Ząbkowicki, gm.;wiejska;ząbkowicki;10;49,38;99,05;0,35;31,83;44,34;2,18;2,38;0,20;15,96;1,10;1,39;0,26
02;dolnośląskie;022404;Stoszowice, gm.;wiejska;ząbkowicki;6;44,18;99,05;0,65;31,61;43,92;2,46;3,12;0,20;14,82;1,16;1,81;0,25
02;dolnośląskie;022405;Ząbkowice Śląskie, gm.;miejsko-wiejska;ząbkowicki;16;51,36;99,31;0,84;31,75;47,66;1,78;1,55;0,24;13,38;1,11;1,54;0,16
02;dolnośląskie;022406;Ziębice, gm.;miejsko-wiejska;ząbkowicki;21;45,24;99,06;0,41;33,15;44,08;1,82;2,77;0,09;13,73;1,12;2,64;0,20
02;dolnośląskie;022407;Złoty Stok, gm.;miejsko-wiejska;ząbkowicki;7;48,58;99,11;1,26;32,17;43,02;3,11;2,00;0,47;15,53;1,05;1,21;0,16
02;dolnośląskie;022501;Zawidów, m.;miejska;zgorzelecki;2;50,10;99,03;1,09;33,28;45,21;2,70;0,80;0,23;14,74;1,43;0,40;0,11
02;dolnośląskie;022502;Zgorzelec, m.;miejska;zgorzelecki;18;55,41;99,44;0,59;28,97;49,44;2,34;0,70;0,11;15,55;1,58;0,59;0,13
